#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"AdobeUpdateService";"0";"200";"59052032";"7790592";"2969600";"13040";;;;;;;;"Process";"8";;;;;;"200";"4164";".";"0";"";;;;;"13040";"13040";"2969600";"2969600";"107120";"107120";"3190784";"3190784";"8937472";"8937472";"62984192";"62984192";;;"2969600";"2969600";;"AdobeUpdateService";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"59052032";"59052032";"False";;;;"7790592";"7790592";;
"AGMService";"0";"217";"63569920";"9781248";"3067904";"13248";;;;;;;;"Process";"8";;;;;;"217";"4156";".";"0";"";;;;;"13248";"13248";"3067904";"3067904";"123240";"123240";"3690496";"3690496";"11776000";"11776000";"95219712";"95219712";;;"3067904";"3067904";;"AGMService";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"63569920";"63569920";"False";;;;"9781248";"9781248";;
"AGSService";"0";"323";"67899392";"13635584";"4190208";"16488";;;;;;;;"Process";"8";;;;;;"323";"4140";".";"0";"";;;;;"16488";"16488";"4190208";"4190208";"141008";"141008";"5971968";"5971968";"22687744";"22687744";"127795200";"127795200";;;"4190208";"4190208";;"AGSService";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"67899392";"67899392";"False";;;;"13635584";"13635584";;
"ApplicationFrameHost";"10";"598";"2203614932992";"45248512";"37138432";"36032";"C:\WINDOWS\system32\ApplicationFrameHost.exe";"Microsoft Corporation";"9,25";"10.0.18362.1 (WinBuild.160101.0800)";"10.0.18362.1";"Application Frame Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"3012";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"598";"10052";".";"132710";"Configuraci?n";"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"36032";"36032";"37138432";"37138432";"439760";"439760";"41668608";"41668608";"46800896";"46800896";"304594944";"2203622817792";"True";"Normal";"37138432";"37138432";"00:00:05.3750000";"ApplicationFrameHost";"255";"True";"10";"System.Diagnostics.ProcessStartInfo";"19/02/2020 11:11:06 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:09.2500000";"00:00:03.8750000";"296710144";"2203614932992";"False";;;;"45248512";"45248512";;
"AppVShNotify";"0";"157";"4379406336";"6623232";"1785856";"8680";;;;;;;;"Process";"8";;;;;;"157";"10748";".";"0";"";;;;;"8680";"8680";"1785856";"1785856";"103312";"103312";"2007040";"2007040";"7708672";"7708672";"91779072";"4386746368";;;"1785856";"1785856";;"AppVShNotify";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"84439040";"4379406336";"False";;;;"6623232";"6623232";;
"armsvc";"0";"156";"45576192";"5840896";"1458176";"9640";;;;;;;;"Process";"8";;;;;;"156";"3496";".";"0";"";;;;;"9640";"9640";"1458176";"1458176";"92864";"92864";"1900544";"1900544";"7254016";"7254016";"53440512";"53440512";;;"1458176";"1458176";;"armsvc";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"45576192";"45576192";"False";;;;"5840896";"5840896";;
"atieclxx";"10";"249";"4420681728";"10616832";"2564096";"12776";;;;;;;;"Process";"8";;;;;;"249";"9944";".";"0";"";;;;;"12776";"12776";"2564096";"2564096";"185184";"185184";"2732032";"2732032";"11055104";"11055104";"132096000";"4427063296";;;"2564096";"2564096";;"atieclxx";;"True";"10";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"125714432";"4420681728";"False";;;;"10616832";"10616832";;
"atiesrxx";"0";"174";"4369907712";"4222976";"1777664";"8360";;;;;;;;"Process";"8";;;;;;"174";"2040";".";"0";"";;;;;"8360";"8360";"1777664";"1777664";"75928";"75928";"2064384";"2064384";"6483968";"6483968";"83935232";"4378902528";;;"1777664";"1777664";;"atiesrxx";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"74940416";"4369907712";"False";;;;"4222976";"4222976";;
"audiodg";"0";"294";"2203628040192";"115822592";"182190080";"17544";;;"14,921875";;;;;"Process";"8";;;;;;"294";"1496";".";"0";"";;;;;"17544";"17544";"182190080";"182190080";"189448";"189448";"191016960";"191016960";"124813312";"124813312";"314855424";"2203633078272";;;"182190080";"182190080";"00:00:03.1875000";"audiodg";;"True";"0";"System.Diagnostics.ProcessStartInfo";"19/02/2020 2:00:42 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:14.9218750";"00:00:11.7343750";"309817344";"2203628040192";"False";;;;"115822592";"115822592";;
"backgroundTaskHost";"10";"289";"2203926388736";"21606400";"15724544";"19216";"C:\WINDOWS\system32\backgroundTaskHost.exe";"Microsoft Corporation";"0,125";"10.0.18362.1 (WinBuild.160101.0800)";"10.0.18362.1";"Background Task Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"1616";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"289";"12032";".";"0";"";"System.Diagnostics.ProcessModule (backgroundTaskHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"19216";"19216";"15724544";"15724544";"271912";"271912";"16031744";"16031744";"27324416";"27324416";"608493568";"2203926716416";"True";"Normal";"15724544";"15724544";"00:00:00.0468750";"backgroundTaskHost";"255";"True";"10";"System.Diagnostics.ProcessStartInfo";"19/02/2020 2:19:39 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1250000";"00:00:00.0781250";"608165888";"2203926388736";"False";;;;"21606400";"21606400";;
